iter	Passed	Remaining
0	167	50000
1	181	27046
2	196	19476
3	211	15682
4	226	13372
5	241	11843
6	256	10734
7	270	9882
8	285	9229
9	299	8680
10	313	8236
11	327	7871
12	342	7562
13	356	7276
14	370	7039
15	385	6834
16	398	6641
17	413	6474
18	427	6320
19	441	6182
20	455	6057
21	469	5936
22	483	5826
23	498	5732
24	513	5643
25	527	5562
26	542	5482
27	555	5401
28	570	5328
29	584	5259
30	598	5196
31	612	5130
32	627	5079
33	642	5024
34	656	4971
35	670	4919
36	684	4868
37	699	4822
38	713	4777
39	727	4730
40	741	4683
41	755	4637
42	770	4606
43	784	4565
44	799	4528
45	813	4491
46	828	4458
47	842	4423
48	857	4390
49	870	4354
50	884	4319
51	898	4286
52	912	4253
53	926	4222
54	941	4192
55	955	4161
56	968	4128
57	983	4101
58	996	4071
59	1011	4045
60	1025	4017
61	1040	3993
62	1054	3965
63	1068	3940
64	1084	3921
65	1102	3908
66	1119	3892
67	1135	3875
68	1152	3857
69	1168	3838
70	1183	3817
71	1198	3796
72	1214	3776
73	1229	3755
74	1245	3735
75	1261	3717
76	1278	3703
77	1296	3689
78	1312	3672
79	1328	3654
80	1343	3633
81	1358	3612
82	1373	3590
83	1388	3570
84	1403	3550
85	1418	3529
86	1432	3508
87	1448	3489
88	1463	3469
89	1477	3448
90	1493	3429
91	1508	3409
92	1522	3389
93	1538	3371
94	1552	3350
95	1568	3332
96	1582	3312
97	1597	3292
98	1612	3273
99	1627	3254
100	1642	3235
101	1657	3217
102	1673	3200
103	1687	3179
104	1701	3160
105	1717	3142
106	1731	3124
107	1746	3104
108	1760	3085
109	1776	3067
110	1790	3048
111	1804	3029
112	1819	3010
113	1833	2991
114	1848	2972
115	1862	2953
116	1876	2934
117	1890	2915
118	1904	2897
119	1919	2879
120	1933	2860
121	1948	2843
122	1963	2825
123	1978	2808
124	1993	2791
125	2009	2774
126	2024	2757
127	2038	2738
128	2052	2721
129	2067	2703
130	2082	2686
131	2096	2668
132	2110	2649
133	2124	2631
134	2138	2614
135	2152	2595
136	2166	2577
137	2180	2560
138	2195	2543
139	2209	2525
140	2223	2507
141	2237	2489
142	2252	2473
143	2267	2456
144	2282	2439
145	2296	2421
146	2310	2404
147	2323	2386
148	2338	2369
149	2353	2353
150	2367	2336
151	2380	2318
152	2395	2301
153	2409	2284
154	2423	2266
155	2437	2249
156	2451	2232
157	2465	2216
158	2480	2199
159	2494	2182
160	2508	2166
161	2523	2149
162	2537	2132
163	2552	2116
164	2567	2100
165	2581	2083
166	2595	2067
167	2609	2050
168	2624	2034
169	2638	2017
170	2653	2001
171	2667	1985
172	2681	1968
173	2695	1951
174	2709	1935
175	2724	1919
176	2739	1903
177	2753	1887
178	2767	1871
179	2782	1854
180	2797	1839
181	2811	1823
182	2826	1807
183	2840	1790
184	2856	1775
185	2872	1760
186	2890	1746
187	2907	1732
188	2924	1717
189	2941	1702
190	2957	1687
191	2973	1672
192	2987	1656
193	3001	1640
194	3015	1623
195	3029	1607
196	3044	1591
197	3058	1575
198	3073	1560
199	3088	1544
200	3102	1528
201	3116	1511
202	3130	1495
203	3144	1479
204	3158	1463
205	3173	1447
206	3187	1432
207	3201	1416
208	3215	1400
209	3230	1384
210	3244	1368
211	3259	1352
212	3273	1337
213	3288	1321
214	3303	1306
215	3317	1290
216	3331	1274
217	3345	1258
218	3359	1242
219	3373	1226
220	3388	1211
221	3401	1195
222	3415	1179
223	3430	1163
224	3444	1148
225	3459	1132
226	3473	1117
227	3487	1101
228	3501	1085
229	3516	1070
230	3530	1054
231	3544	1039
232	3559	1023
233	3573	1007
234	3587	992
235	3600	976
236	3615	961
237	3629	945
238	3643	930
239	3657	914
240	3673	899
241	3687	883
242	3701	868
243	3715	852
244	3729	837
245	3743	821
246	3757	806
247	3771	790
248	3785	775
249	3799	759
250	3813	744
251	3828	729
252	3842	713
253	3855	698
254	3869	682
255	3883	667
256	3897	652
257	3911	636
258	3925	621
259	3940	606
260	3955	591
261	3969	575
262	3982	560
263	3997	545
264	4012	529
265	4026	514
266	4040	499
267	4055	484
268	4069	468
269	4083	453
270	4096	438
271	4110	423
272	4124	407
273	4137	392
274	4151	377
275	4165	362
276	4179	347
277	4192	331
278	4206	316
279	4220	301
280	4234	286
281	4247	271
282	4262	256
283	4278	241
284	4292	225
285	4306	210
286	4320	195
287	4335	180
288	4349	165
289	4363	150
290	4377	135
291	4391	120
292	4405	105
293	4420	90
294	4433	75
295	4448	60
296	4461	45
297	4475	30
298	4489	15
299	4503	0
