student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,scholarship_binary,sports_binary,academic_score,engagement_score,low_attendance,low_cgpa,high_failures,low_study_hours,low_income,gender_encoded,department_encoded,parental_education_encoded,disengaged
205631,Female,CIVIL,Yes,Primary,-,24.0,4.081791516,75.89388944,32131,4.0,22.4,51,0,5,NO,0,1,0,60.177124412,10,0,1,1,0,1,0,2,2,0
216897,MALE,ME,No,Unknown,,19.0,4.227551346,67.1693533,26360,6.0,5.9,10,3,3,YES,1,0,0,44.62189605333334,15,1,1,1,1,1,1,6,4,1
205436,Other,ME,Yes,Unknown,N,25.0,5.225224207,60.91433171,15732,6.0,15.1,36,4,6,NO,1,1,0,56.400420548,24,1,0,1,0,1,4,6,4,1
207353,Female,ECE,No,Postgraduate,-,26.0,4.471950342,74.58421769,42785,4.0,17.3,3,1,2,Yes,0,0,1,45.735017017000004,12,0,1,1,0,1,0,5,1,0
214784,Male,COMMERCE,No,Unknown,Yes,18.0,4.322311295,76.72998966,16049,2.0,24.9,35,3,8,NO,0,0,0,56.29722003966667,25,0,1,0,0,1,2,3,4,0
203473,MALE,BIO,No,Unknown,,25.0,4.26936751,71.57592822,68582,5.0,17.6,20,2,1,Yes,1,0,1,49.48628268266666,13,0,1,1,0,0,1,1,4,1
209656,Other,UNKNOWN,No,Unknown,Y,26.0,6.013147412,89.2925569,75144,2.0,8.6,21,3,9,NO,0,0,0,63.853504130000005,27,0,0,0,1,0,4,7,4,0
207181,Other,COMMERCE,No,Unknown,N,21.0,5.137650102,71.34438115,67847,4.0,21.7,56,3,9,NO,0,0,0,65.75823152166667,27,0,0,1,0,0,4,3,4,0
202090,MALE,UNKNOWN,No,Graduate,N,17.0,4.305949523,73.13804473,84148,6.0,8.7,3,2,6,YES,1,0,0,44.471161034000005,18,0,1,1,1,0,1,7,0,1
217123,Female,ME,No,Secondary,No,23.0,6.637109626,100.0,71972,3.0,19.4,35,1,6,NO,0,0,0,74.85221479666667,15,0,0,0,0,0,0,6,3,0
206206,Female,BIO,No,Primary,No,24.0,5.687291466,68.88151229,30004,2.0,15.8,16,0,1,YES,0,0,0,54.43424435033334,2,1,0,0,0,1,0,1,2,0
219859,Female,BIO,No,Primary,,18.0,5.987094506,77.42381784,54711,4.0,14.4,36,0,9,NO,1,0,0,65.162617882,18,0,0,1,0,0,0,1,2,1
203984,OTHER,ME,NO,Unknown,Y,19.0,6.43857409,100.0,36262,3.0,21.5,50,1,2,YES,0,0,0,78.85953711666667,7,0,0,0,0,1,3,6,4,0
205230,Other,ARTS,YES,Graduate,-,19.0,5.214653293,88.16307243,64468,5.0,6.4,25,1,6,YES,0,0,0,60.85552152733333,15,0,0,1,1,0,4,0,0,0
209948,Female,ARTS,NO,Unknown,-,25.0,4.49662505,68.21071033,75499,3.0,8.8,45,3,3,YES,1,0,0,57.946338349,15,1,1,0,1,0,0,0,4,1
201512,Other,ARTS,NO,Unknown,,18.0,6.105569749,77.26363554,63106,2.0,12.1,23,3,9,YES,0,0,0,61.37360607366666,27,0,0,0,0,0,4,0,4,0
208527,Female,ME,No,Graduate,,25.0,4.765677632,68.79082524,27912,2.0,12.1,19,0,5,NO,0,0,0,50.79896906533334,10,1,1,0,0,1,0,6,0,0
205314,Male,CS,NO,Secondary,,21.0,5.073740505,83.33862123,55795,2.0,23.8,33,0,2,NO,0,0,0,61.370288894,4,0,0,0,0,0,2,4,3,0
214313,Other,ARTS,No,Graduate,-,24.0,6.510641612,79.0921811,64197,3.0,5.3,30,1,1,No,0,0,0,66.28086239000001,5,0,0,0,1,0,4,0,0,0
206958,Female,CIVIL,YES,Unknown,Y,26.0,4.481530134,67.61597451,24868,2.0,15.5,16,1,8,NO,0,0,0,48.02577635633333,19,1,1,0,0,1,0,2,4,0
214400,Other,UNKNOWN,No,Secondary,-,24.0,6.708242038,68.03706857,45804,3.0,5.3,4,4,0,YES,0,0,0,55.285664094333335,12,1,0,0,1,1,4,7,3,0
211642,Other,CIVIL,No,Graduate,Y,21.0,5.807134957,75.06847704,61260,2.0,6.0,19,0,7,No,0,0,0,57.88955123033333,14,0,0,0,1,0,4,2,0,0
209595,Male,UNKNOWN,No,Unknown,Y,17.0,6.455322923,65.5870359,56338,6.0,16.4,28,0,8,NO,1,0,0,61.28605871833334,16,1,0,1,0,0,2,7,4,1
207752,Male,ARTS,NO,Unknown,N,23.0,5.1300157,76.6741304,40251,3.0,9.2,4,4,3,No,0,0,0,49.985650953333334,18,0,0,0,1,1,2,0,4,0
200341,MALE,COMMERCE,No,Unknown,,21.0,6.475385329,92.8824964,85451,5.0,7.8,8,1,9,No,0,0,0,62.90834223166666,21,0,0,1,1,0,1,3,4,0
216683,Other,COMMERCE,YES,Postgraduate,,22.0,4.57283182,95.77392785,73686,6.0,23.2,14,2,6,YES,0,0,0,56.26300412166667,18,0,1,1,0,0,4,3,1,0
202202,Other,ME,No,Secondary,-,21.0,6.661218348,68.67444282,51300,2.0,21.1,21,0,3,YES,0,0,0,60.908424585999995,6,1,0,0,0,0,4,6,3,0
216037,Female,ME,No,Secondary,No,21.0,4.126194345,67.87725388,74766,4.0,11.4,59,1,3,YES,0,0,0,60.66081455566666,9,1,1,1,0,0,0,6,3,0
201788,MALE,ME,YES,Secondary,N,26.0,5.519937661,86.77561042,30169,5.0,24.7,12,2,7,NO,1,0,0,57.63237143100001,20,0,0,1,0,1,1,6,3,1
203335,MALE,UNKNOWN,NO,Graduate,-,19.0,6.89301167,61.24438793,58251,6.0,9.1,55,2,5,No,0,0,0,71.17170806233332,16,1,0,1,1,0,1,7,0,0
206733,Male,CIVIL,NO,Unknown,-,21.0,5.449803838,66.08958699,40690,6.0,9.5,20,2,8,NO,0,0,0,53.74256195366667,22,1,0,1,1,1,2,2,4,0
207087,OTHER,BIO,NO,Secondary,N,23.0,6.627721984,65.86759826,54887,5.0,15.1,8,1,6,NO,1,0,0,55.56555606466666,15,1,0,1,0,0,3,1,3,1
202177,Male,COMMERCE,No,Primary,,23.0,5.986076378,70.42912972,43709,5.0,19.9,49,0,5,No,0,0,0,67.39245413933334,10,0,0,1,0,1,2,3,2,0
211368,OTHER,CS,No,Postgraduate,,23.0,5.202968611,68.54600898,18622,4.0,7.2,41,1,7,YES,0,0,0,60.245312415666675,17,1,0,1,1,1,3,4,1,0
213651,OTHER,ME,Yes,Unknown,-,17.0,4.278439187,85.26888893,37196,3.0,10.6,4,0,4,NO,0,1,0,48.306195947333336,8,0,1,0,0,1,3,6,4,0
212495,OTHER,ECE,No,Unknown,Yes,26.0,6.514953048,57.74195207,60778,5.0,11.9,30,4,7,YES,1,0,0,59.897350861,26,1,0,1,0,0,3,5,4,1
212736,Male,CIVIL,No,Postgraduate,,23.0,5.622436844,68.69067393,16029,6.0,14.4,15,0,5,YES,1,0,0,53.719386399,10,1,0,1,0,1,2,2,1,1
205525,Other,BIO,NO,Unknown,-,23.0,4.37398847,60.54405386,76612,2.0,9.3,4,2,4,NO,1,0,0,41.366491841333335,14,1,1,0,1,0,4,1,4,1
208358,MALE,ARTS,Yes,Unknown,-,17.0,6.210098087,90.82730369,40583,3.0,8.0,34,2,5,YES,1,1,0,69.63201487533333,16,0,0,0,1,1,1,0,4,1
200385,Other,ME,No,Unknown,Y,21.0,5.376263386,72.39002071,55452,3.0,14.8,38,2,0,NO,0,0,0,61.264989809666666,6,0,0,0,0,0,4,6,4,0
205458,OTHER,BIO,No,Secondary,,17.0,4.567097545,72.08232356,55493,3.0,7.9,32,4,4,YES,0,0,0,55.12685145966667,20,0,1,0,1,0,3,1,3,0
204391,Female,ECE,NO,Unknown,N,22.0,6.920039429,100.0,10411,2.0,8.1,17,4,0,YES,0,0,0,70.26686381166668,12,0,0,0,1,1,0,5,4,0
219724,Other,UNKNOWN,No,Primary,N,21.0,6.684026181,85.48842833,15918,2.0,7.6,34,3,6,No,0,0,0,70.39999273733333,21,0,0,0,1,1,4,7,2,0
213150,MALE,UNKNOWN,No,Secondary,Y,23.0,6.790012124,86.96689707,54987,5.0,6.2,20,0,5,No,0,0,0,66.70679640766667,10,0,0,1,1,0,1,7,3,0
214739,OTHER,BIO,NO,Graduate,No,25.0,4.171005728,83.89966416,59444,4.0,12.8,14,4,8,NO,1,0,0,50.691594554666665,28,0,1,1,0,0,3,1,0,1
204322,MALE,ECE,Yes,Postgraduate,No,26.0,4.945652392,65.55490433,25849,2.0,20.1,26,4,2,Yes,0,1,1,53.06139992566668,21,1,1,0,0,1,1,5,1,0
207403,Female,CS,No,Postgraduate,Yes,18.0,4.761247286,72.38083077,36723,2.0,18.5,26,0,2,Yes,1,0,1,54.18715232766667,9,0,1,0,0,1,0,4,1,1
217266,OTHER,COMMERCE,No,Unknown,Y,21.0,5.466104638,88.86746082,24968,2.0,7.3,1,4,2,YES,0,0,0,54.324094769333335,16,0,0,0,1,1,3,3,4,0
217919,OTHER,CS,No,Primary,Y,24.0,6.028956535,90.23785716,56945,3.0,10.4,10,4,9,YES,0,0,0,60.549473156333335,30,0,0,0,0,0,3,4,2,0
218366,Other,ARTS,NO,Graduate,-,24.0,6.390839257,75.99496428,58359,2.0,21.6,7,1,6,No,0,0,0,57.086018902333336,15,0,0,0,0,0,4,0,0,0
206298,Male,CIVIL,YES,Postgraduate,No,20.0,4.335330365,65.7013469,21265,6.0,21.0,24,4,2,No,0,0,0,49.387055894999996,16,1,1,1,0,1,2,2,1,0
212774,MALE,ME,No,Unknown,No,16.0,4.700623052,59.30301334,15097,6.0,22.2,0,1,2,Yes,1,0,1,41.294019262000006,12,1,1,1,0,1,1,6,4,1
204774,Male,COMMERCE,YES,Secondary,Y,26.0,6.982753194,65.51181709,24225,6.0,17.1,23,2,4,NO,0,0,0,62.233977763666665,14,1,0,1,0,1,2,3,3,0
205857,Female,ME,No,Unknown,No,24.0,6.677911529,57.40472388,29648,5.0,14.4,16,0,9,NO,1,0,0,55.944308142333334,18,1,0,1,0,1,0,6,4,1
218539,Female,ME,Yes,Unknown,-,19.0,6.537049119,84.92707295,15266,4.0,6.5,38,0,9,NO,0,1,0,70.83003414666666,18,0,0,1,1,1,0,6,4,0
204772,OTHER,ME,No,Graduate,No,17.0,4.704428554,75.09409398,66227,4.0,15.2,2,4,9,YES,0,0,0,46.71703763066666,30,0,1,1,0,0,3,6,0,0
210752,Male,ME,No,Unknown,No,21.0,5.582933403,75.09409398,32594,3.0,19.4,3,0,7,YES,0,0,0,51.442895209,14,0,0,0,0,1,2,6,4,0
203886,Male,COMMERCE,NO,Unknown,Y,21.0,6.960243589,81.49411218,63003,6.0,24.3,23,3,0,NO,0,0,0,66.91611826566667,9,0,0,1,0,0,2,3,4,0
202937,OTHER,ME,Yes,Postgraduate,,23.0,5.952613082,88.13052384,87763,3.0,14.6,6,3,4,NO,0,1,0,58.202222562,17,0,0,0,0,0,3,6,1,0
213855,Female,BIO,Yes,Unknown,No,23.0,5.509995241,80.15846798,52895,5.0,20.7,57,1,0,NO,1,1,0,70.597516599,3,0,0,1,0,0,0,1,4,1
217874,MALE,COMMERCE,No,Unknown,N,18.0,5.500271303,78.55011105,27113,6.0,19.8,27,2,3,No,0,0,0,60.06638982999999,12,0,0,1,0,1,1,3,4,0
214518,Female,ARTS,Yes,Graduate,Yes,17.0,4.586764257,73.01074774,37099,5.0,13.5,42,0,3,NO,0,1,0,58.83704560699999,6,0,1,1,0,1,0,0,0,0
207486,Other,ARTS,No,Graduate,-,24.0,6.731259638,80.64843588,56022,4.0,7.9,9,4,3,NO,1,0,0,60.850828953999994,18,0,0,1,1,0,4,0,0,1
215653,Male,ARTS,Yes,Secondary,No,22.0,4.660754381,81.71340043,81930,6.0,8.7,34,2,6,NO,1,1,0,59.151125367333336,18,0,1,1,1,0,2,0,3,1
208603,OTHER,COMMERCE,No,Graduate,,18.0,4.721404046,87.39132763,12981,2.0,14.6,7,2,1,NO,0,0,0,52.15775185233334,8,0,1,0,0,1,3,3,0,0
215210,MALE,UNKNOWN,Yes,Unknown,-,21.0,4.250031896,68.59903289,55649,4.0,8.5,47,4,5,NO,0,1,0,57.49653601366666,22,1,1,1,1,0,1,7,4,0
213188,Male,UNKNOWN,Yes,Postgraduate,N,26.0,5.500271303,66.24364456,29489,4.0,12.0,38,0,5,No,1,1,0,60.04111654966666,10,1,0,1,0,1,2,7,1,1
219085,Other,UNKNOWN,NO,Graduate,Y,26.0,4.916014103,90.45684705,32983,4.0,24.9,47,4,2,YES,1,0,0,67.38379129666667,16,0,1,1,0,1,4,7,0,1
216833,OTHER,UNKNOWN,YES,Postgraduate,No,19.0,6.523125005,45.26230488,65884,4.0,18.0,17,2,3,Yes,1,0,1,51.860983155666666,17,1,0,1,0,0,3,7,1,1
217953,Other,UNKNOWN,No,Unknown,No,19.0,5.315604934,77.78585646,33356,4.0,19.9,0,2,6,No,0,0,0,49.913781608,18,0,0,1,0,1,4,7,4,0
202753,Other,UNKNOWN,No,Postgraduate,-,19.0,6.275329538,78.47622543,40505,5.0,17.1,32,1,4,No,0,0,0,65.58618198566667,11,0,0,1,0,1,4,7,1,0
209326,Female,COMMERCE,YES,Unknown,Y,24.0,4.772035935,63.49007283,37161,5.0,12.1,45,2,3,YES,1,0,0,57.907201524,12,1,1,1,0,1,0,3,4,1
