student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,scholarship_binary,sports_binary,gender_encoded,department_encoded,parental_education_encoded,academic_score,engagement_score,low_attendance,low_cgpa,high_failures,low_study_hours,low_income,disengaged,risk_probability
205631,Female,CIVIL,Y,Primary,,24.0,4.081791516,75.89388944,32131,4.0,22.4,51,0,,No,0,0,0,1,2,2,0.54395332896,,0,1,1,0,1,1,0.6300399156991143
216897,Male,ME,nan,nan,,19.0,4.227551346,67.1693533,26360,6.0,5.9,10,3,,Yes,1,0,1,3,6,4,0.40061011374,,1,1,1,1,1,0,0.4940938238447139
205436,nan,ME,Y,nan,,25.0,5.225224207,60.91433171,15732,6.0,15.1,36,4,,No,1,0,0,5,6,4,0.49975196341,,1,1,1,0,1,1,0.6189194522623223
207353,FEMALE,ECE,nan,Postgraduate,,26.0,4.471950342,74.58421769,42785,,17.3,3,1,,Y,0,0,0,0,5,1,0.41163066675000004,,1,1,0,0,1,1,0.8648920715162807
214784,M,COMMERCE,nan,nan,,18.0,4.322311295,76.72998966,16049,2.0,24.9,35,3,,No,0,0,0,2,3,4,0.50808242078,,0,1,1,0,1,1,0.6376827728419714
203473,Male,BIO,N,nan,,25.0,4.26936751,71.57592822,68582,5.0,17.6,20,2,,Y,1,0,0,3,1,4,0.44550248506,,1,1,1,0,0,1,0.6037313567496391
209656,nan,nan,N,nan,,26.0,6.013147412,89.2925569,75144,2.0,8.6,21,3,,No,0,0,0,5,7,4,0.57140356718,,0,0,1,1,0,1,0.5903954278566439
207181,nan,COMMERCE,Nope,nan,,,5.137650102,71.34438115,67847,4.0,21.7,56,3,,No,0,0,0,5,3,4,0.58753914753,,1,1,1,0,0,1,0.6314953229446439
202090,Male,nan,Nope,Graduate,,17.0,4.305949523,73.13804473,84148,6.0,8.7,3,2,,Yes,1,0,1,3,7,0,0.40065211511000004,,1,1,1,1,0,0,0.4844628714637615
217123,Female,ME,N,Secondary,,23.0,6.637109626,100.0,71972,3.0,19.4,35,1,,No,0,0,0,1,6,3,0.67048438504,,0,0,1,0,0,1,0.6583841719202279
206206,FEMALE,BIO,N,Primary,,24.0,5.687291466,68.88151229,30004,2.0,15.8,16,0,,Yes,0,0,1,0,1,2,0.48213619551,,1,1,1,0,1,1,0.6272625937118775
219859,Female,BIO,nan,Primary,,18.0,5.987094506,77.42381784,54711,4.0,14.4,36,0,,No,1,0,0,1,1,2,0.57975523376,,0,1,1,1,0,1,0.5587207483694645
203984,Other,ME,No,nan,,19.0,6.43857409,100.0,36262,3.0,21.5,50,1,,Yes,0,0,1,4,6,4,0.7075429636,,0,0,1,0,1,1,0.6486889448014972
205230,nan,ARTS,Yes,Graduate,,19.0,5.214653293,88.16307243,64468,5.0,6.4,25,1,,Yes,0,1,1,5,0,0,0.54807534901,,0,1,1,1,0,1,0.5348763888888887
209948,FEMALE,ARTS,No,nan,,25.0,4.49662505,68.21071033,75499,3.0,8.8,45,3,,Yes,1,0,1,0,0,4,0.51949713299,,1,1,1,1,0,0,0.48028191908280915
201512,nan,ARTS,No,nan,,18.0,6.105569749,77.26363554,63106,2.0,12.1,23,3,,Yes,0,0,1,5,0,4,0.54501369658,,0,0,1,1,0,1,0.5686568150202049
208527,Female,ME,N,Graduate,,25.0,4.765677632,68.79082524,27912,2.0,12.1,19,0,,No,0,0,0,1,6,0,0.45399958100000004,,1,1,1,1,1,1,0.5296819722075073
205314,M,CS,No,Secondary,,21.0,5.073740505,83.33862123,55795,2.0,23.8,33,0,,No,0,0,0,2,4,3,0.55196548389,,0,1,1,0,0,1,0.6331200720495106
214313,nan,ARTS,Nope,Graduate,,24.0,6.510641612,79.0921811,64197,3.0,5.3,30,1,,nan,0,0,0,5,0,0,0.5877022077799999,,0,0,1,1,0,1,0.5923954278566439
206958,Female,CIVIL,Yes,nan,,26.0,4.481530134,67.61597451,24868,2.0,15.5,16,1,,No,0,1,0,1,2,4,0.43010912889,,1,1,1,0,1,1,0.6071828087847821
214400,nan,nan,Nope,Secondary,,24.0,6.708242038,68.03706857,45804,3.0,5.3,4,4,,Yes,0,0,1,5,7,3,0.48444088723,,1,0,1,1,1,1,0.5537381720689533
211642,nan,CIVIL,nan,Graduate,,,5.807134957,75.06847704,61260,2.0,6.0,19,0,,nan,0,0,0,5,2,0,0.5144908293999999,,0,1,1,1,0,1,0.564807544906261
209595,M,nan,Nope,nan,,17.0,6.455322923,65.5870359,56338,6.0,16.4,28,0,,No,1,0,0,2,7,4,0.53897402462,,1,0,1,0,0,1,0.6456769921626132
207752,M,ARTS,No,nan,,23.0,5.1300157,76.6741304,40251,3.0,9.2,4,4,,nan,0,0,0,2,0,4,0.4472230192,,0,1,1,1,1,1,0.5879144015428778
200341,Male,COMMERCE,nan,nan,,,6.475385329,92.8824964,85451,5.0,7.8,8,1,,nan,0,0,0,3,3,4,0.5616629023599999,,0,0,1,1,0,1,0.6046643672505834
216683,nan,COMMERCE,Yes,Postgraduate,,22.0,4.57283182,95.77392785,73686,6.0,23.2,14,2,,Yes,0,1,1,5,3,1,0.51223505635,,0,1,1,0,0,1,0.5835040014723838
202202,nan,ME,nan,Secondary,,21.0,6.661218348,68.67444282,51300,2.0,21.1,21,0,,Yes,0,0,1,5,6,3,0.53547206238,,1,0,1,0,0,1,0.6237600901670352
216037,Female,ME,N,Secondary,,21.0,4.126194345,67.87725388,74766,4.0,11.4,59,1,,Yes,0,0,1,1,6,3,0.5456795354399999,,1,1,1,1,0,0,0.4901152524161425
201788,Male,ME,Yes,Secondary,,26.0,5.519937661,86.77561042,30169,5.0,24.7,12,2,,No,1,1,0,3,6,3,0.5171243377000001,,0,1,1,0,1,1,0.6024996155074714
203335,Male,nan,No,Graduate,,19.0,6.89301167,61.24438793,58251,6.0,9.1,55,2,,N,0,0,0,3,7,0,0.62445363059,,1,0,1,1,0,1,0.5153129901793787
206733,M,CIVIL,No,nan,,,5.449803838,66.08958699,40690,6.0,9.5,20,2,,No,0,0,0,2,2,4,0.47626091449,,1,1,1,1,1,1,0.5581580087109035
207087,Other,BIO,No,Secondary,,23.0,6.627721984,65.86759826,54887,5.0,,8,1,,No,1,0,0,4,1,3,0.48671167414,,1,0,1,0,0,1,0.5531398712235426
202177,M,COMMERCE,N,Primary,,23.0,5.986076378,70.42912972,43709,5.0,19.9,49,0,,nan,0,0,0,2,3,2,0.59773044428,,1,1,1,0,1,1,0.6242847305324393
211368,Other,CS,N,Postgraduate,,23.0,5.202968611,68.54600898,18622,,7.2,41,1,,Yes,0,0,1,4,4,1,0.53675677138,,1,1,0,1,1,1,0.72878188315341
213651,Other,ME,Y,nan,,17.0,4.278439187,85.26888893,37196,3.0,10.6,4,0,,No,0,0,0,4,6,4,0.43894423426999996,,0,1,1,1,1,1,0.5728453539238302
212495,Other,ECE,N,nan,,26.0,6.514953048,57.74195207,60778,5.0,11.9,30,4,,Yes,1,0,1,4,5,4,0.5238239781299999,,1,0,1,1,0,0,0.4844446938080837
212736,M,CIVIL,Nope,Postgraduate,,23.0,5.622436844,68.69067393,-16029,6.0,14.4,15,0,,Yes,1,0,1,2,2,1,0.47596949555,,1,1,1,1,1,1,0.5265795381304281
205525,nan,BIO,No,nan,,23.0,4.37398847,60.54405386,76612,2.0,9.3,4,2,,No,1,0,0,5,1,4,0.36859170038,,1,1,1,1,0,1,0.5023118755331555
208358,Male,ARTS,Y,nan,,17.0,6.210098087,90.82730369,40583,3.0,8.0,34,2,,Yes,1,0,1,3,0,4,0.62288583455,,0,0,1,1,1,1,0.5799782435916336
200385,nan,ME,nan,nan,,21.0,5.376263386,72.39002071,55452,3.0,14.8,38,2,,No,0,0,0,5,6,4,0.54622059757,,1,1,1,1,0,0,0.49666061502895376
205458,Other,BIO,nan,Secondary,,17.0,4.567097545,72.08232356,55493,3.0,7.9,32,4,,Yes,0,0,1,4,1,3,0.49493087248,,1,1,1,1,0,0,0.4982128714637615
204391,Female,ECE,No,nan,,22.0,6.920039429,100.0,-10411,2.0,8.1,17,4,,Yes,0,0,1,1,5,4,0.6278015771600001,,0,0,1,1,1,1,0.5757254963388863
219724,nan,nan,N,Primary,,,6.684026181,85.48842833,15918,2.0,7.6,34,3,,N,0,0,0,5,7,2,0.6258263322300001,,0,0,1,1,1,1,0.6490500103665252
213150,Male,nan,N,Secondary,,23.0,6.790012124,86.96689707,54987,5.0,6.2,20,0,,nan,0,0,0,3,7,3,0.5925011761700001,,0,0,1,1,0,1,0.5850501897614059
214739,Other,BIO,No,Graduate,,25.0,4.171005728,83.89966416,59444,4.0,12.8,14,4,,No,1,0,0,4,1,0,0.4605392216,,0,1,1,1,0,1,0.5763183674170835
204322,Male,ECE,Y,Postgraduate,,26.0,4.945652392,65.55490433,25849,2.0,20.1,26,4,,Y,0,0,0,3,5,1,0.47249080867000004,,1,1,1,0,1,1,0.6174194522623222
207403,FEMALE,CS,N,Postgraduate,,18.0,4.761247286,72.38083077,36723,2.0,18.5,26,0,,Y,1,0,0,0,4,1,0.4855923837500001,,1,1,1,0,1,1,0.6349275876752964
217266,Other,COMMERCE,N,nan,,,5.466104638,88.86746082,24968,2.0,7.3,1,4,,Yes,0,0,1,4,3,4,0.48824656798,,0,1,1,1,1,1,0.5548903606412506
217919,Other,CS,Nope,Primary,,24.0,6.028956535,90.23785716,56945,3.0,10.4,10,4,,Yes,0,0,1,4,4,2,0.54187183288,,0,0,1,1,0,1,0.5790615769249668
218366,nan,ARTS,No,Graduate,,24.0,6.390839257,75.99496428,58359,2.0,21.6,7,1,,N,0,0,0,5,0,0,0.50461846312,,0,0,1,0,0,1,0.6650036921849096
206298,M,CIVIL,Yes,Postgraduate,,20.0,4.335330365,65.7013469,21265,6.0,21.0,24,4,,nan,0,1,0,2,2,1,0.4425172553,,1,1,1,0,1,1,0.6115756659276393
212774,Male,ME,nan,nan,,16.0,4.700623052,59.30301334,15097,6.0,22.2,0,1,,Y,1,0,0,3,6,4,0.3659339621,,1,1,1,0,1,1,0.6092765951194651
204774,M,COMMERCE,Yes,Secondary,,26.0,6.982753194,65.51181709,24225,6.0,17.1,23,2,,No,0,1,0,2,3,3,0.54484557903,,1,0,1,0,1,1,0.6183703087847823
205857,FEMALE,ME,N,nan,,24.0,6.677911529,57.40472388,29648,5.0,14.4,16,0,,No,1,0,0,0,6,4,0.48733063280000005,,1,0,1,1,1,1,0.5599682587847737
218539,FEMALE,ME,Y,nan,,19.0,6.537049119,84.92707295,15266,4.0,6.5,38,0,,No,0,0,0,0,6,4,0.63026318361,,0,0,1,1,1,1,0.6093080856246007
204772,Other,ME,Nope,Graduate,,17.0,4.704428554,,66227,4.0,15.2,2,4,,Yes,0,0,1,4,6,0,,,0,1,1,0,0,1,0.523430645525563
210752,M,ME,N,nan,,,5.582933403,,32594,3.0,19.4,3,0,,Yes,0,0,1,2,6,4,,,0,1,1,0,1,1,0.5326345243868371
203886,M,COMMERCE,No,nan,,,6.960243589,81.49411218,63003,6.0,24.3,23,3,,No,0,0,0,2,3,4,0.5918920801,,0,0,1,0,0,1,0.6945927177824678
202937,Other,ME,Y,Postgraduate,,23.0,5.952613082,88.13052384,87763,3.0,14.6,6,3,,No,0,0,0,4,6,1,0.5204960948,,0,1,1,1,0,1,0.5763183674170835
213855,FEMALE,BIO,Y,nan,,23.0,5.509995241,80.15846798,52895,5.0,20.7,57,1,,No,1,0,0,0,1,4,0.6318752135800001,,0,1,1,0,0,1,0.6180605482399867
217874,Male,COMMERCE,Nope,nan,,18.0,,78.55011105,27113,6.0,19.8,27,2,,nan,0,0,0,3,3,4,,,0,0,1,0,1,1,0.6262256298068178
214518,Female,ARTS,Y,Graduate,,17.0,4.586764257,73.01074774,37099,5.0,13.5,42,0,,No,0,0,0,1,0,0,0.5285028135000001,,1,1,1,1,1,1,0.5348570422355186
207486,nan,ARTS,nan,Graduate,,24.0,6.731259638,80.64843588,56022,4.0,7.9,9,4,,No,1,0,0,5,0,0,0.53819569316,,0,0,1,1,0,1,0.6003954278566439
215653,M,ARTS,Y,Secondary,,22.0,4.660754381,81.71340043,81930,6.0,8.7,34,2,,No,1,0,0,2,0,3,0.53357037653,,0,1,1,1,0,1,0.5587207483694645
208603,Other,COMMERCE,nan,Graduate,,18.0,4.721404046,87.39132763,12981,2.0,14.6,7,2,,No,0,0,0,4,3,0,0.47203014473000005,,0,1,1,1,1,1,0.5845120205904969
215210,Male,nan,Y,nan,,21.0,4.250031896,68.59903289,55649,4.0,8.5,47,4,,No,0,0,0,3,7,4,0.51679837451,,1,1,1,1,0,0,0.4954385653395128
213188,M,nan,Y,Postgraduate,,26.0,,66.24364456,29489,4.0,12.0,38,0,,nan,1,0,0,2,7,1,,,1,0,1,1,1,0,0.36078289377763695
219085,nan,nan,No,Graduate,,26.0,4.916014103,90.45684705,32983,4.0,24.9,47,4,,Yes,1,0,1,5,7,0,0.60901110527,,0,1,1,0,1,1,0.6279620244179592
216833,Other,nan,Yes,Postgraduate,,19.0,6.523125005,45.26230488,65884,4.0,18.0,17,2,,Y,1,1,0,4,7,1,0.44771191484,,1,0,1,0,0,1,0.5909756832953292
217953,nan,nan,nan,nan,,19.0,5.315604934,77.78585646,33356,4.0,19.9,0,2,,nan,0,0,0,5,7,4,0.44598176674,,0,1,1,0,1,1,0.6324484469528069
202753,nan,nan,N,Postgraduate,,19.0,6.275329538,78.47622543,40505,5.0,17.1,32,1,,nan,0,0,0,5,7,1,0.58244185781,,0,0,1,0,1,1,0.6724923572788736
209326,FEMALE,COMMERCE,Yes,nan,,24.0,4.772035935,63.49007283,37161,5.0,12.1,45,2,,Yes,1,1,1,0,3,4,0.51635165589,,1,1,1,1,1,1,0.5156359126984126
206846,Female,nan,Nope,Secondary,,25.0,6.925640788,84.81167743,80021,5.0,8.7,6,1,,Yes,0,0,1,1,7,3,0.54946066381,,0,0,1,1,0,1,0.5655588296722196
219599,M,CIVIL,Nope,Graduate,,22.0,5.832097541,60.87077168,43952,3.0,9.9,33,1,,Yes,0,0,1,2,2,0,0.5148962166800001,,1,1,1,1,1,1,0.5265795381304281
207212,nan,nan,No,Primary,,21.0,6.251251578,55.52120879,73308,5.0,17.9,37,3,,No,1,0,0,5,7,2,0.52761368949,,1,0,1,0,0,1,0.642548343929126
214644,Male,BIO,No,Secondary,,25.0,4.397576487,100.0,35457,4.0,13.6,20,2,,No,0,0,0,3,1,3,0.53590305948,,0,1,1,1,1,1,0.5832620205904968
203975,FEMALE,nan,Yes,Postgraduate,,19.0,6.526786985,68.84560888,28805,,6.7,48,3,,No,0,1,0,0,7,1,0.61160830604,,1,0,0,1,1,1,0.6901408342971811
207745,Male,ME,N,Graduate,,25.0,5.128902045,95.14405403,48409,3.0,8.3,1,3,,No,0,0,0,3,6,0,0.49358824389,,0,1,1,1,1,1,0.5945953539238301
219329,Male,CIVIL,Nope,Secondary,,,5.124667585,92.37245296,69509,3.0,7.6,51,1,,No,0,0,0,3,2,3,0.63510406228,,0,1,1,1,0,1,0.561777783001499
203710,M,CIVIL,N,nan,,19.0,6.985223964,66.85187776,29673,6.0,15.4,35,0,,No,0,0,0,2,2,4,0.5849645918399999,,1,0,1,0,1,1,0.666321271757019
218095,nan,ARTS,nan,nan,,26.0,5.073387867,78.33981171,41814,2.0,20.6,44,2,,nan,0,0,0,5,0,4,0.5699549498100001,,0,1,1,0,1,1,0.6226966154509753
210633,FEMALE,nan,No,Postgraduate,,19.0,,74.27553916,45026,5.0,9.9,45,3,,No,0,0,0,0,7,1,,,1,0,1,1,1,0,0.37150278173281903
217487,Other,nan,No,nan,,25.0,5.474496689,75.72427145,35526,5.0,21.4,32,2,,No,1,0,0,4,7,4,0.54215268191,,0,1,1,0,1,1,0.6354484469528068
216382,M,nan,No,Secondary,,21.0,5.865521249,,74683,3.0,24.7,43,0,,No,1,0,0,2,7,3,,,0,1,1,0,0,1,0.5179760240020835
