gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,low_attendance,low_cgpa,high_failures,low_study_hours,cgpa_attendance_interaction,study_cgpa_ratio,assignment_completion_rate,academic_performance_score,engagement_score,risk_score,cgpa_squared,attendance_squared,income_bracket,age_group
0,2,1,2,0,24.0,4.081791516,75.89388944,32131,4.0,22.4,51,0,5,0,0,1,1,0,309.783034032434,5.356555895791339,1.02,58.3559023,1.0,5,16.66102198008958,5759.882454330943,2,0
1,6,0,4,0,19.0,4.227551346,67.1693533,26360,6.0,5.9,10,3,3,1,1,1,1,1,283.96188995336456,1.3633575960810795,0.2,54.72243338,1.6,9,17.872190383066414,4511.72202274022,2,3
3,6,1,4,0,25.0,5.225224207,60.91433171,15732,6.0,15.1,36,4,6,0,1,0,1,0,318.29104060431973,2.8355613609941663,0.72,56.58328689,1.2,5,27.30296801341878,3710.555807675911,1,0
0,5,0,1,0,26.0,4.471950342,74.58421769,42785,4.0,17.3,3,1,2,1,0,1,1,0,333.536917806598,3.7839431109026687,0.06,59.651860555,1.4,5,19.99833986131392,5562.80552842931,2,1
1,3,0,4,1,18.0,4.322311295,76.72998966,16049,2.0,24.9,35,3,8,0,0,1,0,0,331.65090097265124,5.630539855516887,0.7,59.976551305,2.6,3,18.68237493088458,5887.491313223707,1,2
1,1,0,4,0,25.0,4.26936751,71.57592822,68582,5.0,17.6,20,2,1,1,0,1,1,0,305.5839424405601,4.028042951232546,0.4,57.13480166,1.2,5,18.227498935443602,5123.113500554591,0,0
3,7,0,4,1,26.0,6.013147412,89.2925569,75144,2.0,8.6,21,3,9,0,0,0,0,1,536.9293074340977,1.4068039620831574,0.42,74.71201551,2.8,1,36.1579417984423,7973.160717739736,3,1
3,3,0,4,0,21.0,5.137650102,71.34438115,67847,4.0,21.7,56,3,9,0,0,0,1,0,366.54246709242443,4.143079353795291,1.12,61.360441085000005,1.8,2,26.395448570580612,5090.020721676476,0,3
1,7,0,0,0,17.0,4.305949523,73.13804473,84148,6.0,8.7,3,2,6,1,0,1,1,1,314.9287288182962,1.9746027399052435,0.06,58.09876998,2.2,6,18.541201294623924,5349.173586927482,3,2
0,6,0,3,0,23.0,6.637109626,100.0,71972,3.0,19.4,35,1,6,0,0,0,0,0,663.7109626,2.8795731518351873,0.7,83.18554813,1.2,0,44.05122418754186,10000.0,0,0
0,1,0,2,0,24.0,5.687291466,68.88151229,30004,2.0,15.8,16,0,1,1,1,0,0,0,391.7492370120911,2.730119969388803,0.32,62.877213475,1.2,3,32.345284219236426,4744.662735357421,2,0
0,1,0,2,0,18.0,5.987094506,77.42381784,54711,4.0,14.4,36,0,9,0,0,0,1,0,463.5437144234088,2.3656606589245555,0.72,68.64738145,1.8,2,35.84530062377539,5994.447568921502,0,2
2,6,0,4,1,19.0,6.43857409,100.0,36262,3.0,21.5,50,1,2,1,0,0,0,0,643.8574090000001,3.2881786921833287,1.0,82.19287045,2.4,0,41.45523631241933,10000.0,2,3
3,0,1,0,0,19.0,5.214653293,88.16307243,64468,5.0,6.4,25,1,6,1,0,0,1,1,459.73985596809695,1.2042177818879598,0.5,70.15480267999999,2.2,3,27.19260896619574,7772.727340297426,0,3
0,0,0,4,0,25.0,4.49662505,68.21071033,75499,3.0,8.8,45,3,3,1,1,1,0,1,306.7179887481717,1.9144480796840286,0.9,56.58848041499999,1.6,7,20.2196368402875,4652.7010037231685,3,0
3,0,0,4,0,18.0,6.105569749,77.26363554,63106,2.0,12.1,23,3,9,1,0,0,0,0,471.73851585078523,1.949861251974464,0.46,69.159666515,2.8,0,37.27798195990392,5969.669376857951,0,2
0,6,0,0,0,25.0,4.765677632,68.79082524,27912,2.0,12.1,19,0,5,0,1,1,0,0,327.83489713308904,2.4868067544019326,0.38,58.223800780000005,1.0,6,22.71168329214513,4732.177637200221,2,0
1,4,0,3,0,21.0,5.073740505,83.33862123,55795,2.0,23.8,33,0,2,0,0,0,0,0,422.8385381655039,4.600153404872014,0.66,67.03801314,0.4,0,25.742842712077653,6945.325788517407,0,3
